"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2026-02-13T07:37:40.083Z"
,"Amsterdam University of Applied Sciences","The Amsterdam University of Applied Sciences/Hogeschool van Amsterdam (AUAS/HvA) is a knowledge institution that educates tomorrow’s professionals in a wide array of fields and disciplines of higher education. With a distinct focus on applied sciences, the AUAS enables students, lecturers and researchers to develop cutting-edge – and practical – knowledge and innovations.

AUAS students are immersed in Amsterdam during their studies, a city renowned as a hotbed of education and research in all conceivable areas: culture and society, trade, logistics, aviation, shipping, information technology, sports, healthcare and more. With the city as their laboratory, AUAS students and lecturers work closely with countless industries, companies and organisations to come up with smart solutions to challenges facing Amsterdam.

Applied research is a crucial component of the many educational programmes AUAS offers, and is conducted in close collaboration with both professors and professionals. Students work alongside professors in labs and at centres of applied research. AUAS focuses on five priority areas for research: Amsterdam creative industries, Urban Education, Urban Management, Urban Technology and Urban Vitality. Entrepreneurship is another important focus area. 

The AUAS consists of seven faculties, teaching 45,460 students and offering 92 Bachelor’s, Master’s and Associate degree programmes. It is one of the biggest employers in the field of higher education, and in Amsterdam, with some 4,066 staff members. *reference date: 2018

http://www.amsterdamuas.com/","Higher Education","1,001-5,000 employees","Educational","Amsterdam, Noord-Holland","Netherlands","hva.nl","https://www.linkedin.com/company/hogeschool-van-amsterdam",
,"Erasmus University Rotterdam","Erasmus University Rotterdam provides excellent education  and is part of the international top in certain research areas. Erasmus University is not only an internationally oriented university, it is also well embedded in the city of Rotterdam and the region. Its expertise is concentrated on: Economics and Management, Medicine and Health Sciences, and Law, Culture and Society.

Erasmus University as an interesting employer
EUR provides excellent education to students and is part of the international top in certain research areas. At campus Woudestein top researchers, teachers, support staff and students meet each other. This contributes to a characteristic and lively ambiance.

We offer meaningful and versatile work. Scientific staff with a background in Economics and Management, Medicine and Health or Law, Culture and Society can deepen their knowledge at Erasmus University. In addition, we have several opportunities for support staff as well.
Above all, Erasmus University finds the development of her employees of great importance. With our career-development and mobility policies and several educational possibilities we support and stimulate you to actively shape your own career. All this combined with our attractive employment conditions is what makes Erasmus University an interesting employer for you.

http://www.eur.nl/english/workingat/
http://www.rotterdam.nl/expatdesk
https://www.academictransfer.com/search_results/?q=EUR&find=zoeken","Higher Education","1,001-5,000 employees","Educational","Rotterdam, Zuid-Holland","Netherlands","eur.nl","https://www.linkedin.com/company/erasmus-university-rotterdam",
,"HU University of Applied Sciences Utrecht (Hogeschool Utrecht)","HU University of Applied Sciences Utrecht (HU) is one of the largest further education colleges in the Netherlands and is funded by the state. It has over 35,000 students with more than one hundred different nationalities. And yet, our students still experience our educational environment as small-scale and personal. This is thanks to the numerous locations where the courses are housed according to discipline and the high quality of our teaching staff, who place great emphasis on personal supervision.","Higher Education","1,001-5,000 employees","Educational","Utrecht, Utrecht","Netherlands","hu.nl","https://www.linkedin.com/company/hogeschool-utrecht",
,"Fontys University of Applied Sciences","The challenges of tomorrow require smart ideas today. That is why Fontys works with thinkers who look further and with daring people who do. Students, teachers, researchers and field partners. Everyone works together and learns from each other. In surprising combinations and across disciplines. We connect education and practice-based research. We develop talents and look for concrete solutions for a sustainable society where attention for each other is the norm.  A society where everyone counts and where people and nature are in balance. Every step is a step forward. At Fontys we work together on impact every day.

Fontys University of Applied Sciences is a multidisciplinary knowledge institution with various locations in the south of the Netherlands. We offer a wide range of higher education courses, knowledge and practice-oriented research. Together with our partners in the professional field, we train students to become up-to-date professionals for today's and tomorrow's society. We work together with the (regional) professional field on practice-based research of which the results are directly applicable.","Higher Education","1,001-5,000 employees","Educational","Eindhoven, Tilburg, Den Bosch, Venlo, Sittard, Helmond, Veghel, Utrecht","Netherlands","fontys.nl","https://www.linkedin.com/company/fontys-hogeschool",
,"HAN University of Applied Sciences","Kwaliteit en een goede reputatie: dat is de kracht van de HAN. Vanuit de campussen in Arnhem en in Nijmegen verzorgen wij voor ruim 31.000 studenten meer dan 80 bachelor- en masteropleidingen. De synergie tussen onderwijs, beroepenveld, onderzoek en maatschappij is daarbij een belangrijk aandachtspunt. 

De HAN investeert in onderwijs en onderzoek, verzorgt een breed aanbod aan opleidingen en een grote variëteit aan opleidingsvormen (in voltijd, deeltijd, duaal of individueel). Vanuit lectoraten verzorgen we toegepast onderzoek. Daarnaast richten we ons met advies, nascholing, trainingen en (post-hbo-)opleidingen op bedrijven, instellingen en organisaties.

De HAN heeft zich nadrukkelijk op de kaart gezet als hoger onderwijsinstelling met goed onderwijs en toegepast onderzoek. dat heeft de afgelopen jaren geleid tot hoge tevredenheidscores, een sterke groei en een fors toegenomen binding met onze omgeving. Het onderhouden van deze basiskracht is doelstelling nummer 1.

In de komende jaren gaat de HAN verder met de ingezette vernieuwingen te verdiepen, bestendigen en verankeren in de opleidingen. Hoe? Dat staat beschreven in het HAN instellingsplan (http://bit.ly/2fbTH8Y).","Higher Education","1,001-5,000 employees","Educational","Arnhem, Gelderland","Netherlands","han.nl","https://www.linkedin.com/company/hogeschool-van-arnhem-en-nijmegen",
,"Windesheim","Windesheim is one of the largest of the 39 Universities of Applied Sciences in the Netherlands with over 27.000 students. It offers study programmes in 87 different disciplines, which are grouped within the various departments. The emphasis is on a student-focused, practice-oriented education. 

Windesheim is eager to provide international programmes for the benefit of students and lecturers alike. Our objective is to incorporate international elements into all subjects taught at Windesheim, and foreign students are welcome to participate in these international programmes.","Higher Education","1,001-5,000 employees","Educational","Zwolle, Overijssel","Netherlands","windesheim.nl","https://www.linkedin.com/company/hogeschool-windesheim",
,"Nyenrode Business University","Nyenrode Business University works on a sustainable future by stimulating our students and participants to grow into responsible leaders. We do so by offering them a combination of academic theory, practical relevance and personal development. Nyenrode is the only private university in the Netherlands, founded in 1946 by business and for business and has traditionally been internationally oriented. We offer intensive academic education, short-term and longer-term programs in the fields of business, management, accountancy, controlling, and fiscal law. We also undertake scientific research in these areas.","Higher Education","201-500 employees","Educational","Breukelen, Utrecht","Netherlands","nyenrode.nl","https://www.linkedin.com/company/nyenrode",
,"Vilans","Vilans is dé kennisorganisatie voor zorg en ondersteuning.

Samen met professionals in het veld ontwikkelen we vernieuwende en praktijkgerichte kennis en helpen we zorgorganisaties die kennis toe te passen in de praktijk. Dat doen wij samen met professionals, bestuurders, beleidsmakers, managers en cliënten. Zo houden we de zorg voor ouderen, gehandicapten en chronisch zieken efficiënt, betaalbaar én van goede kwaliteit.

Vilans helpt ervoor zorgen dat:
• De langdurende zorg wint aan kwaliteit, doelmatigheid en veiligheid. 
• Mensen meer de eigen regie over hun gezondheid en ziekte krijgen. 
• Mensen zo lang mogelijk zelfstandig en zelfsturend blijven. 
• Medewerkers hun werk met plezier doen.

------------------------------------------------------------------------------------------------------------------------------

Vilans is the Dutch Centre of Expertise for Long-Term Care. We support and provide practical knowledge to professionals in order to improve the quality of life of those who need long-term care.

Vilans is working from the following three values:

• Connecting 
Vilans explores links between people and organisations, between research, policy and practice and between content and process.

• Enterprising
Vilans takes a pro-active approach towards opportunities and possibilities for improving care and support structurally and responds to signals from the field.

• Inspiring 
Vilans offers innovative and creative approaches and solutions.","Hospitals and Health Care","201-500 employees","Non Profit","Utrecht","Netherlands","vilans.nl","https://www.linkedin.com/company/vilans",
,"NCOI Opleidingen","NCOI Opleidingen verzorgt ruim 1.000 opleidingen en trainingen door heel Nederland. Wij zijn uitgegroeid tot de grootste opleider voor werkenden en toonaangevend op het gebied van praktijkgericht opleiden en leren. NCOI weet als geen andere opleider praktijkgerichtheid te combineren met officiële erkenningen uit het onderwijsveld. Kiest u voor een opleiding of training van NCOI? Dan kiest u voor een onderwijsaanpak gericht op uw eigen werkomgeving, een hoge mate van flexibiliteit (verschillende startmomenten en studievarianten), topdocenten en een waardevol diploma.","Education Administration Programs","1,001-5,000 employees","Educational","Hilversum, Noord-Holland","Netherlands","ncoi.nl","https://www.linkedin.com/company/ncoi",
,"Nederlandse Zorgautoriteit","Wat kost een behandeling bij de tandarts of een bezoek aan de huisarts? En wie controleert of zorgaanbieders en zorgverzekeraars zich aan de wet houden? In Nederland is er een organisatie die tarieven in de zorg vaststelt en toezicht houdt op zorgaanbieders en zorgverzekeraars. Dat is de Nederlandse Zorgautoriteit (NZa). 

Wij stellen tarieven vast voor zorgbehandelingen
Voor de meeste zorgbehandelingen maken zorgverzekeraars en zorgaanbieders samen afspraken over de inhoud van de behandeling, de kwaliteit en de prijs ervan. Sommige prijzen stelt de NZa vast, bijvoorbeeld de tarieven voor de zorg in een instelling voor ouderen of mensen met een verstandelijke handicap of voor uw bezoek aan de huisarts en de tandarts.

Wij zijn toezichthouder in de zorg
De NZa controleert - op basis van eigen analyses en van meldingen van consumenten - of zorgaanbieders en zorgverzekeraars zich aan de wetten en regels houden. Zorgverzekeraars moeten bijvoorbeeld iedereen accepteren voor de basisverzekering. Ongeacht leeftijd, inkomen, leefstijl of gezondheid. En zorgaanbieders moeten de behandelingen op de juiste manier in rekening brengen. Ook moeten zij duidelijke informatie geven over de prijs en de kwaliteit van de zorg. Is het belang van de consument in het geding? Dan grijpt de NZa in. 

Wij adviseren het ministerie van VWS
De NZa adviseert de minister en de staatssecretaris van VWS, gevraagd en ongevraagd. Deze adviezen gaan bijvoorbeeld over mogelijke verbeteringen in de wetten en regels in de zorg. De bewindslieden besluiten vervolgens zelf of ze deze adviezen overnemen of niet. 

Onze huisregels op social media
We willen onze social media leuk en interessant houden voor iedereen. We nodigen u uit om mee te discussiëren, maar houd het netjes; ook als u het niet eens bent met anderen of met ons. Meer weten over onze huisregels, bekijk dan onze informatiekaart: https://puc.overheid.nl/nza/doc/PUC_274146_22/1/","Hospitals and Health Care","501-1,000 employees","Government Agency","Utrecht, Utrecht","Netherlands","nza.nl","https://www.linkedin.com/company/nederlandse-zorgautoriteit",
